run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw3,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,325.3563,98.0393,222.4252,316.71,69.2952,317.8947,56.9609,3,test,phone,True,
vw3,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,639.147,65.6293,176.3022,602.7437,-265.4527,-581.4326,129.4829,4,test,phone,True,
vw4,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,2581.1843,72.0684,943.8459,2387.314,-2563.0148,-305.7195,84.8529,1,test,phone,True,
vw4,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,418.5704,48.9293,162.5909,393.2104,-417.8504,-24.5385,15.3953,2,test,phone,True,
vw4,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,81.7906,27.5678,21.6441,74.2081,-76.6233,-28.6112,10.9415,3,test,phone,True,
vw4,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,771.4975,134.0581,111.8377,721.5905,-249.0521,-730.2147,83.4694,4,test,phone,True,
vw4,2026-09-09T11:50:53Z,inav_ai_ukf_v1,180,473.5039,50.8331,325.7375,477.8168,-394.1932,262.3281,,5,test,phone,True,
vw5,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,76.6897,41.1889,74.6198,94.9535,67.4711,36.4554,100.0879,1,test,phone,True,
vw5,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,13.3449,73.0811,0.8385,10.4811,-12.4595,4.7797,99.9035,2,test,phone,True,
vw6,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,65.4279,81.9379,7.3848,58.9892,-42.9969,49.3163,83.6463,1,test,phone,True,
vw6,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,429.4081,170.3161,145.1617,401.2687,-423.4027,71.5818,159.8057,2,test,phone,True,
vw7,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,200.382,92.5963,33.7341,190.6668,-178.5623,90.9338,139.9637,1,test,phone,True,
vw7,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,22.6361,34.1167,11.6856,21.3791,11.6463,-19.4103,2.8727,2,test,phone,True,
vw8,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,161.1982,46.5957,91.6631,134.2139,-130.8082,94.2011,167.8765,1,test,phone,True,
vw8,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,76.37,109.6171,24.1348,68.9998,-40.7116,-64.614,118.1237,2,test,phone,True,
vw8,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,161.9986,69.0875,68.2085,153.4458,0.2248,161.9984,28.6533,3,test,phone,True,
vw9,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,33.4329,39.7947,8.2483,30.4061,-12.3752,-31.0581,46.5012,1,test,phone,True,
vw10,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,47.6489,35.9724,29.7698,47.6205,29.3118,37.5664,13.4266,1,test,phone,True,
vw11,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,47.2978,52.6559,19.5626,46.1885,-47.2965,-0.3383,3.0541,1,test,phone,True,
vw11,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,1524.745,101.4147,598.805,1666.6187,313.8899,-1492.1746,26.6022,2,test,phone,True,
vw11,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,318.4101,67.9255,212.3755,279.8982,271.4603,-166.4171,2.2076,3,test,phone,True,
vw11,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,391.0956,53.0752,137.7799,365.818,-381.0596,88.0179,16.4751,4,test,phone,True,
vw12,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,42.2195,15.8262,16.2596,39.3119,9.0553,41.237,10.4656,1,test,phone,True,
vw12,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,291.634,40.812,98.1044,264.0728,-264.1575,123.5724,26.2664,2,test,phone,True,
vw14a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,770.7354,53.9183,248.5732,667.6484,-719.8552,-275.329,27.1017,1,test,phone,True,
vw14a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,358.2855,45.0346,110.3287,333.141,-358.131,10.4555,26.2865,2,test,phone,True,
vw14a,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,52.1783,21.5733,12.5316,47.1127,-34.0712,39.5187,26.0826,3,test,phone,True,
vw14b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,120,4045.8543,135.7608,1457.3939,3827.3736,1279.6259,-3838.3258,31.1331,1,test,phone,True,
vw14b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,60,758.2402,51.5479,301.0389,728.2704,-699.3141,293.0341,3.1751,2,test,phone,True,
vw14b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,10,57.3597,26.2765,7.9916,51.61,-48.701,-30.304,23.8697,3,test,phone,True,
vw14b,2026-09-09T11:46:10Z,inav_spectra_esekf_v2,30,385.1907,58.3158,160.335,359.6382,-348.0616,-165.0056,48.9887,4,test,phone,True,
